pdb_id,consensus_name,best_hit_name,motif1,motif2,motif3
1rut,RHOMBOTIN-2,"LIM domain transcription factor LMO4,LIM domain-binding protein 1",PS00478,PS50023,PS51957
1s38,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1s39,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1sdz,Apoptosis 1 inhibitor,Apoptosis 1 inhibitor,PS50143,PS01282,
1se0,Apoptosis 1 inhibitor,Apoptosis 1 inhibitor,PS50143,PS01282,
1t9h,Small ribosomal subunit biogenesis GTPase RsgA,Small ribosomal subunit biogenesis GTPase RsgA,PS50936,PS51721,
1tw6,Baculoviral IAP repeat-containing protein 7,Baculoviral IAP repeat-containing protein 7,PS50143,PS01282,
1uol,CELLULAR TUMOR ANTIGEN P53,Immunoglobulin G-binding protein G/Cellular tumor antigen p53 fusion protein,,,
1v33,CrtF-related protein,DNA primase small subunit,,,
1vfy,HEPATOCYTE GROWTH FACTOR-REGULATED TYROSINE KINASE SUBSTRATE,Lateral signaling target protein 2 homolog,PS50178,,
1vsr,PROTEIN (DNA MISMATCH ENDONUCLEASE),PROTEIN (DNA MISMATCH ENDONUCLEASE),,,
1woy,Methionine--tRNA ligase,Methionyl-tRNA Synthetase,,,
1y5v,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1y5w,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1z05,DNA-binding transcriptional repressor Mlc,DNA-binding transcriptional repressor Mlc,PS01125,,
2a1k,gp32,gp32,,,
2ac0,Cellular tumor antigen p53,PROTEIN (P53 TUMOR SUPPRESSOR),PS00348,,
2ahi,Cellular tumor antigen p53,PROTEIN (P53 TUMOR SUPPRESSOR),PS00348,,
2ap1,"Ubiquitin-like protein SMT3,N-acetyl-D-glucosamine kinase",N-acetyl-D-glucosamine kinase,PS01125,,
2ash,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2b8t,Thymidine kinase,THYMIDINE KINASE,PS00603,,
2bbf,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
2bim,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2bin,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2bio,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2biq,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2bjr,MFP2A,MFP2A,,,
2ckl,E3 ubiquitin-protein ligase RING2,E3 ubiquitin-protein ligase RING2,ZF_RING_2,ZF_RING_1,
2d54,Methionine--tRNA ligase,Methionine--tRNA ligase,,,
2d5b,Methionyl-tRNA synthetase,Methionyl-tRNA synthetase,,,
2dfy,RHOMBOTIN-2,Fusion protein of Lmo4 protein and LIM domain-binding protein 1,PS00478,PS50023,PS51957
2f6j,Nucleosome-remodeling factor subunit BPTF,bromodomain PHD finger transcription factor,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633; PS01186
2f6n,Nucleosome-remodeling factor subunit BPTF,bromodomain PHD finger transcription factor,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633; PS01186
2fpr,"D,D-heptose 1,7-bisphosphate phosphatase",Histidine biosynthesis bifunctional protein hisB,,,
2fpu,"D,D-heptose 1,7-bisphosphate phosphatase",Histidine biosynthesis bifunctional protein hisB,,,
2fpw,"D,D-heptose 1,7-bisphosphate phosphatase",Histidine biosynthesis bifunctional protein hisB,,,
2fpx,"D,D-heptose 1,7-bisphosphate phosphatase",Histidine biosynthesis bifunctional protein hisB,,,
2fsa,Nucleosome-remodeling factor subunit BPTF,bromodomain PHD finger transcription factor,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633; PS01186
2fyg,Non-structural protein 10,Non-structural protein 10 and Non-structural protein 11,PS51952,,
2g45,Ubiquitin carboxyl-terminal hydrolase 5,Ubiquitin carboxyl-terminal hydrolase 5,PS50271,PS50053,PS00299
2g6q,Inhibitor of growth protein 4,"inhibitor of growth family, member 1-like",ZF_PHD_2,ZF_PHD_1,
2gag,SARCOSINE OXIDASE DELTA SUBUNIT,heterotetrameric sarcosine oxidase delta-subunit,,,
2gah,SARCOSINE OXIDASE DELTA SUBUNIT,heterotetrameric sarcosine oxidase delta-subunit,,,
2giv,Histone acetyltransferase KAT8,Histone acetyltransferase KAT8,PS51726,,
2gmw,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",,,
2hqh,CAP-Gly domain-containing linker protein 1,CAP-Gly domain-containing linker protein 1,PS00845,PS50245,
2hrv,Protease 2A,2A protease,,,
2hvw,Deoxycytidylate deaminase,deoxycytidylate deaminase,PS00903,PS51747,
2i3h,Baculoviral IAP repeat-containing protein 7,Baculoviral IAP repeat-containing protein 7,PS50143,PS01282,
2ioi,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
2iom,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
2j1w,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2j1x,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2j1y,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2j1z,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2j20,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2j21,CELLULAR TUMOR ANTIGEN P53,Cellular tumor antigen p53,,,
2nqz,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2nso,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2oko,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2oq6,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
2ox0,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
2p5b,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
2pcx,Cellular tumor antigen p53,PROTEIN (P53 TUMOR SUPPRESSOR),PS00348,,
2pnx,Inhibitor of growth protein 4,Inhibitor of growth protein 4,ZF_PHD_2,ZF_PHD_1,
2poi,E3 ubiquitin-protein ligase XIAP,Baculoviral IAP repeat-containing protein 4,PS50143,PS01282,
2pot,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2pq8,Histone acetyltransferase KAT8,Probable histone acetyltransferase MYST1,PS51726,,
2puy,Chromodomain-helicase-DNA-binding protein 4,PHD finger protein 21A,ZF_PHD_2,ZF_PHD_1,
2pwu,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
2pwv,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2pxj,JmjC domain-containing histone demethylation protein 3A,Jumonji domain-containing protein 2A,PS51183,PS51184,
2qfa,Inner centromere protein,Inner centromere protein,PS50143,,
2qii,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
2qzr,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
2rhk,Cleavage and polyadenylation specificity factor subunit 4,Cleavage and polyadenylation specificity factor subunit 4,PS50103,,
2ri7,Nucleosome-remodeling factor subunit BPTF,bromodomain PHD finger transcription factor,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
2uvl,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
2v0c,LEUCYL-TRNA SYNTHETASE,LEUCYL-TRNA SYNTHETASE,PS00178,,
2v85,VDJ RECOMBINATION-ACTIVATING PROTEIN 2,V(D)J recombination-activating protein 2,,,
2v87,VDJ RECOMBINATION-ACTIVATING PROTEIN 2,V(D)J recombination-activating protein 2,,,
2v88,VDJ RECOMBINATION-ACTIVATING PROTEIN 2,V(D)J recombination-activating protein 2,,,
2v89,VDJ RECOMBINATION-ACTIVATING PROTEIN 2,V(D)J recombination-activating protein 2,,,
2vm5,Baculoviral IAP repeat-containing protein 1e,Baculoviral IAP repeat-containing protein 1,PS50143,PS01282,
2vnf,Inhibitor of growth protein 4,Inhibitor of growth protein 4,ZF_PHD_2,ZF_PHD_1,
2vpb,PYGOPUS HOMOLOG 1,Pygopus homolog 1,ZF_PHD_2,ZF_PHD_1,
2vpe,PYGOPUS HOMOLOG 1,PYGOPUS HOMOLOG 1,ZF_PHD_2,ZF_PHD_1,
2vpg,PYGOPUS HOMOLOG 1,PYGOPUS HOMOLOG 1,ZF_PHD_2,ZF_PHD_1,
2vrw,Proto-oncogene vav,Proto-oncogene vav,PS00479,PS50081,PS50003; PS00741; PS50010; PS51420
2vuk,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2wb0,ADENOVIRUS SINGLE-STRANDED DNA-BINDING PROTEIN,ADENOVIRUS SINGLE-STRANDED DNA-BINDING PROTEIN,,,
2wgx,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2x0u,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2x0v,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
2xb1,PYGOPUS HOMOLOG 1,"PYGOPUS HOMOLOG 2, B-CELL CLL/LYMPHOMA 9-LIKE PROTEIN",ZF_PHD_2,ZF_PHD_1,
2xb4,Adenylate kinase,Adenylate kinase,PS00113,,
2xeu,E3 UBIQUITIN-PROTEIN LIGASE RNF4,E3 UBIQUITIN LIGASE RNF4,ZF_RING_2,ZF_RING_1,
2xoc,E3 UBIQUITIN-PROTEIN LIGASE CHFR,E3 UBIQUITIN-PROTEIN LIGASE CHFR,,,
2xp0,E3 UBIQUITIN-PROTEIN LIGASE CHFR,E3 UBIQUITIN-PROTEIN LIGASE CHFR,,,
2xwr,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
2xyq,Non-structural protein 10,Replicase polyprotein 1ab,PS51952,PS51955,
2y1n,E3 ubiquitin-protein ligase CBL,"Glutathione S-transferase class-mu 26 kDa isozyme,E3 ubiquitin-protein ligase CBL",ZF_RING_2,ZF_RING_1,PS51506
2y43,E3 UBIQUITIN-PROTEIN LIGASE RNF8,Polycomb group RING finger protein 1,ZF_RING_2,ZF_RING_1,
2ybg,Cellular tumor antigen p53,PROTEIN (P53 TUMOR SUPPRESSOR),PS00348,,
2yhw,Glucokinase,BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE/N-ACETYLMANNOSAMINE KINASE,,,
2yhy,Glucokinase,BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE/N-ACETYLMANNOSAMINE KINASE,,,
2yvr,Transcription intermediary factor 1-beta,Transcription intermediary factor 1-beta,PS50119,,
2z1v,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2z1w,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2z1x,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
2z7k,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3asl,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_PHD_2,ZF_PHD_1,ZF_RING_2
3bld,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
3bll,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
3blo,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
3c10,HISTONE DEACETYLASE 4,Histone deacetylase 7a,,,
3c2y,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3c5k,Histone deacetylase 6,Histone deacetylase 6,PS50271,,
3c6w,Inhibitor of growth protein 4,Inhibitor of growth protein 4,ZF_PHD_2,ZF_PHD_1,
3d0a,Cellular tumor antigen p53,Cellular tumor antigen p53,,,
3d2q,Muscleblind-like protein 1,Muscleblind-like protein 1,PS50103,,
3d2s,Muscleblind-like protein 1,Muscleblind-like protein 1,PS50103,,
3d9t,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
3ddt,Midline-1,Ubiquitin ligase TRIM63,PS50119,,
3dxt,Lysine-specific demethylase 4D,LYSINE-SPECIFIC DEMETHYLASE 4D,PS51183,PS51184,
3eb5,E3 ubiquitin-protein ligase XIAP,Baculoviral IAP repeat-containing protein 3,ZF_RING_2,,
3eos,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3eou,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3esq,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",,,
3esr,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",,,
3exj,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
3f6q,LIM and senescent cell antigen-like-containing domain protein 1,LIM and senescent cell antigen-like-containing domain protein 1,PS00478,PS50023,PS50088; PS50297
3f7h,Baculoviral IAP repeat-containing protein 7,Baculoviral IAP repeat-containing protein 7,PS50143,PS01282,
3f7i,Baculoviral IAP repeat-containing protein 7,Baculoviral IAP repeat-containing protein 7,PS50143,PS01282,
3fl2,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_RING_2,ZF_RING_1,
3g1p,Protein phnP,Protein phnP,,,
3gc4,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3gc5,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3ge7,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3gt9,Baculoviral IAP repeat-containing protein 7,Baculoviral IAP repeat-containing protein 7,PS50143,PS01282,
3gta,Baculoviral IAP repeat-containing protein 7,Baculoviral IAP repeat-containing protein 7,PS50143,PS01282,
3gv4,Histone deacetylase 6,Histone deacetylase 6,PS50271,,
3hfy,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
3hko,Calmodulin-domain protein kinase 1,Calcium/calmodulin-dependent protein kinase,PS50011,PS00107,PS00108
3hl5,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
3igk,Cellular tumor antigen p53,Cellular tumor antigen p53,,,
3igl,Cellular tumor antigen p53,PROTEIN (P53 TUMOR SUPPRESSOR),PS00348,,
3ixe,LIM and senescent cell antigen-like-containing domain protein 1,LIM and senescent cell antigen-like-containing domain protein 1,PS00478,PS50023,PS50088; PS50297
3kde,Transposable element P transposase,Transposable element P transposase,PS50950,,
3knv,TNF receptor-associated factor 6,TNF receptor-associated factor 6,ZF_RING_2,ZF_RING_1,
3kqi,Lysine-specific demethylase PHF2,Lysine-specific demethylase PHF2,ZF_PHD_2,ZF_PHD_1,PS01186
3kr7,Tankyrase-2,Tankyrase-2,PS51059,,
3l1u,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",,,
3l8e,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",,,
3l8f,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",,,
3l8h,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",,,
3lqh,MLL1 PHD3-Bromo,MLL1 PHD3-Bromo,ZF_PHD_2,ZF_PHD_1,PS50014
3lqi,Histone-lysine N-methyltransferase MLL,Histone-lysine N-methyltransferase MLL,ZF_PHD_2,ZF_PHD_1,PS50014
3lqj,Histone-lysine N-methyltransferase MLL,Histone-lysine N-methyltransferase MLL,ZF_PHD_2,ZF_PHD_1,PS50014
3m1d,Baculoviral IAP repeat-containing protein 3,Baculoviral IAP repeat-containing protein 3,PS50143,PS01282,
3m5l,NS3/4A,NS3/4A,PS51822,,
3m5m,NS3/4A,NS3/4A,PS51822,,
3m5o,NS3/4A,NS3/4A,PS51822,,
3mhj,Tankyrase-2,Tankyrase-2,PS51059,,
3mhs,SAGA-associated factor 73,SAGA-associated factor 73,PS50271,PS50053,PS00299; PS00972; PS00973; PS50235
3ms5,GAMMA-BUTYROBETAINE DIOXYGENASE,Gamma-butyrobetaine dioxygenase,,,
3n6w,GAMMA-BUTYROBETAINE DIOXYGENASE,Gamma-butyrobetaine dioxygenase,,,
3ng2,E3 UBIQUITIN-PROTEIN LIGASE RNF4,E3 ubiquitin-protein ligase RNF4,ZF_RING_2,ZF_RING_1,
3nik,E3 ubiquitin-protein ligase UBR1,E3 ubiquitin-protein ligase UBR1,PS51157,,
3nil,E3 ubiquitin-protein ligase UBR1,E3 ubiquitin-protein ligase UBR1,PS51157,,
3nim,E3 ubiquitin-protein ligase UBR1,E3 ubiquitin-protein ligase UBR1,PS51157,,
3nis,E3 ubiquitin-protein ligase UBR1,E3 ubiquitin-protein ligase UBR1,PS51157,,
3ny3,E3 ubiquitin-protein ligase UBR2,E3 ubiquitin-protein ligase UBR2,PS51157,,
3o2g,GAMMA-BUTYROBETAINE DIOXYGENASE,Gamma-butyrobetaine dioxygenase,,,
3o33,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
3o34,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633; PS00322
3o35,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
3o36,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633; PS00047
3o37,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
3o70,PHD finger protein 13 variant,PHD finger protein 13 variant,PS01186,,
3o7a,PHD finger protein 20,PHD finger protein 13,PS01186,,
3o8c,"NON-STRUCTURAL PROTEIN 4A, SERINE PROTEASE NS3",HCV NS3 protease/helicase,PS51822,PS51192,PS51194
3p0n,Tankyrase-2,Tankyrase-2,PS51059,,
3p0q,Tankyrase-2,Tankyrase-2,PS51059,,
3p2u,Protein phnP,Protein phnP,,,
3pdn,SET and MYND domain-containing protein 3,SET and MYND domain-containing protein 3,SET,ZF_MYND_1,ZF_MYND_2; PS51574
3pdq,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
3plw,,,,,
3qwp,SET and MYND domain-containing protein 3,SET and MYND domain-containing protein 3,SET,ZF_MYND_1,ZF_MYND_2; PS51574
3qww,N-lysine methyltransferase SMYD2,SET and MYND domain-containing protein 2,SET,ZF_MYND_1,ZF_MYND_2
3qzv,Nucleosome-remodeling factor subunit BPTF,bromodomain PHD finger transcription factor,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633; PS01186
3r24,Replicase polyprotein 1ab,orf1a polyprotein,PS51952,PS51955,
3ray,PR domain zinc finger protein 1,HISTONE-LYSINE N-METHYLTRANSFERASE PRDM9,SET,,
3rc4,NS3/4A,NS3/4A,PS51822,,
3rc5,NS3/4A,NS3/4A,PS51822,,
3rc6,NS3/4A,NS3/4A,PS51822,,
3rmq,uncharacterized protein,uncharacterized protein,,,
3rr4,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3ru0,Histone-lysine N-methyltransferase SMYD3,SET and MYND domain-containing protein 3,SET,ZF_MYND_1,ZF_MYND_2; PS51574
3s1g,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3shb,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_PHD_2,ZF_PHD_1,ZF_RING_2
3sm0,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3sou,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_PHD_2,ZF_PHD_1,ZF_RING_2
3sow,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_PHD_2,ZF_PHD_1,ZF_RING_2
3su0,NS3/4A,"NS3 protease,NS4A protein",PS51822,,
3su1,"NS3 protease, NS4A protein","NS3 protease, NS4A protein",PS51822,,
3su2,NS3/4A,"NS3 protease, NS4A protein",PS51822,,
3su3,NS3/4A,NS3/4A,PS51822,,
3su5,NS3 protease,Genome polyprotein,PS51822,,
3su6,NS3/4A,Genome polyprotein,PS51822,,
3sud,NS3/4A,NS3/4A,PS51822,,
3sug,NS3/4A,Genome polyprotein,PS51822,,
3sv9,"NS3 protease, NS4A protein",Genome polyprotein,PS51822,,
3t6p,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,ZF_RING_2,PS50143,PS01282; PS50209
3t6r,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_PHD_2,ZF_PHD_1,ZF_RING_2
3t92,Histone acetyltransferase p300,Histone acetyltransferase p300,PS50134,,
3tg4,N-lysine methyltransferase SMYD2,N-lysine methyltransferase SMYD2,SET,ZF_MYND_1,ZF_MYND_2
3tll,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
3u1l,Pre-mRNA-splicing factor CWC2,Pre-mRNA-splicing factor CWC2,PS50103,PS50102,
3u1m,Pre-mRNA-splicing factor CWC2,Pre-mRNA-splicing factor CWC2,PS50103,PS50102,
3u5n,E3 ubiquitin-protein ligase TRIM33,E3 ubiquitin-protein ligase TRIM33,ZF_PHD_2,ZF_PHD_1,PS50014; PS00322
3u9g,Zinc finger CCCH-type antiviral protein 1,Zinc finger CCCH-type antiviral protein 1,PS50103,,
3u9h,Tankyrase-2,Tankyrase-2,PS51059,,
3udd,Tankyrase-1,Tankyrase-1,PS51059,,
3uej,Protein kinase C delta type,Protein kinase C delta type,PS00479,PS50081,
3uey,Protein kinase C delta type,Protein kinase C delta type,PS00479,PS50081,
3uff,Protein kinase C delta type,Protein kinase C delta type,PS00479,PS50081,
3ugd,Protein kinase C delta type,Protein kinase C delta type,PS00479,PS50081,
3ugi,Protein kinase C delta type,Protein kinase C delta type,PS00479,PS50081,
3ugl,Protein kinase C delta type,Protein kinase C delta type,PS00479,PS50081,
3uh2,Tankyrase-1,Tankyrase-1,PS51059,,
